frame,areas,diffs,plucked_areas,colored,areas (μm^2)
4,443,,False,0,1.1978719999999998
5,451,8.0,False,0,1.219504
6,456,5.0,False,0,1.233024
7,450,6.0,False,0,1.2167999999999999
8,448,2.0,False,0,1.211392
10,465,17.0,False,0,1.2573599999999998
11,463,2.0,False,0,1.251952
12,472,9.0,False,0,1.2762879999999999
13,471,1.0,False,0,1.2735839999999998
14,468,3.0,False,0,1.265472
15,474,6.0,False,0,1.281696
16,474,0.0,False,0,1.281696
17,480,6.0,False,0,1.29792
18,478,2.0,False,0,1.2925119999999999
19,487,9.0,False,0,1.3168479999999998
20,491,4.0,False,0,1.327664
21,487,4.0,False,0,1.3168479999999998
22,484,3.0,False,0,1.308736
24,497,13.0,False,0,1.343888
25,499,2.0,False,0,1.3492959999999998
26,501,2.0,False,0,1.354704
27,502,1.0,False,0,1.357408
28,507,5.0,False,0,1.370928
29,513,6.0,False,0,1.387152
30,511,2.0,False,0,1.3817439999999999
31,518,7.0,False,0,1.400672
32,514,4.0,False,0,1.389856
33,523,9.0,False,0,1.414192
34,526,3.0,False,0,1.4223039999999998
35,536,10.0,False,0,1.449344
36,537,1.0,False,0,1.452048
37,540,3.0,False,0,1.46016
38,540,0.0,False,0,1.46016
39,543,3.0,False,0,1.4682719999999998
40,542,1.0,False,0,1.465568
41,550,8.0,False,0,1.4871999999999999
42,548,2.0,False,0,1.481792
43,552,4.0,False,0,1.492608
44,564,12.0,False,0,1.525056
45,571,7.0,False,0,1.5439839999999998
46,573,2.0,False,0,1.5493919999999999
47,572,1.0,False,0,1.5466879999999998
48,577,5.0,False,0,1.5602079999999998
49,580,3.0,False,0,1.56832
50,581,1.0,False,0,1.571024
51,588,7.0,False,0,1.5899519999999998
52,591,3.0,False,0,1.598064
53,596,5.0,False,0,1.611584
54,602,6.0,False,0,1.627808
55,605,3.0,False,0,1.6359199999999998
56,609,4.0,False,0,1.646736
57,612,3.0,False,0,1.6548479999999999
58,612,0.0,False,0,1.6548479999999999
59,622,10.0,False,0,1.6818879999999998
60,618,4.0,False,0,1.671072
61,625,7.0,False,0,1.69
62,630,5.0,False,0,1.70352
63,633,3.0,False,0,1.7116319999999998
64,637,4.0,False,0,1.722448
65,644,7.0,False,0,1.7413759999999998
66,649,5.0,False,0,1.7548959999999998
67,652,3.0,False,0,1.763008
68,656,4.0,False,0,1.7738239999999998
69,660,4.0,False,0,1.7846399999999998
70,664,4.0,False,0,1.795456
71,659,5.0,False,0,1.781936
72,672,13.0,False,0,1.8170879999999998
73,681,9.0,False,0,1.841424
74,672,9.0,False,0,1.8170879999999998
75,681,9.0,False,0,1.841424
76,685,4.0,False,0,1.8522399999999999
77,693,8.0,False,0,1.8738719999999998
78,691,2.0,False,0,1.868464
79,700,9.0,False,0,1.8927999999999998
80,705,5.0,False,0,1.9063199999999998
81,705,0.0,False,0,1.9063199999999998
82,716,11.0,False,0,1.9360639999999998
83,717,1.0,False,0,1.9387679999999998
84,721,4.0,False,0,1.9495839999999998
85,727,6.0,False,0,1.9658079999999998
86,729,2.0,False,0,1.9712159999999999
87,733,4.0,False,0,1.9820319999999998
88,737,4.0,False,0,1.992848
89,735,2.0,False,0,1.9874399999999999
90,742,7.0,False,0,2.0063679999999997
91,743,1.0,False,0,2.0090719999999997
92,753,10.0,False,0,2.0361119999999997
93,749,4.0,False,0,2.025296
